SPEC,COMMONNAME,SCINAME,SPEC6,Order,Family,Subfamily
BTPI,Band-tailed Pigeon,Patagioenas fasciata,PATFAS,Columbiformes,Columbidae,
BANS,Bank Swallow,Riparia riparia,RIPRIP,Passeriformes,Hirundinidae,Hirundininae
BABU,Barbados Bullfinch,Loxigilla barbadensis,LOXBAD,Passeriformes,Emberizidae,
BARW,Barbuda Warbler,Setophaga subita,SETSUB,Passeriformes,Parulidae,
BACA,Bare-crowned Antbird,Gymnocichla nudiceps,GYMNUD,Passeriformes,Thamnophilidae,
BLOW,Bare-legged Owl,Gymnoglaux lawrencii,GYMLAW,Strigiformes,Strigidae,
BNUM,Bare-necked Umbrellabird,Cephalopterus glabricollis,CEPGLA,Passeriformes,Cotingidae,
BSSO,Bare-shanked Screech-Owl,Megascops clarkii,MEGCLA,Strigiformes,Strigidae,
BTTH,Bare-throated Tiger-Heron,Tigrisoma mexicanum,TIGMEX,Pelecaniformes,Ardeidae,
BANO,Barn Owl,Tyto alba,TYTALB,Strigiformes,Tytonidae,
BARS,Barn Swallow,Hirundo rustica,HIRRUS,Passeriformes,Hirundinidae,Hirundininae
BARG,Barnacle Goose,Branta leucopsis,BRALEU,Anseriformes,Anatidae,Anserinae
BAAN,Barred Antshrike,Thamnophilus doliatus,THADOL,Passeriformes,Thamnophilidae,
BABE,Barred Becard,Pachyramphus versicolor,PACVER,Passeriformes,Tityridae,
BAFF,Barred Forest-Falcon,Micrastur ruficollis,MICRUF,Falconiformes,Falconidae,Micrasturinae
BAHA,Barred Hawk,Morphnarchus princeps,MORPRI,Accipitriformes,Accipitridae,Accipitrinae
BADO,Barred Owl,Strix varia,STRVAR,Strigiformes,Strigidae,
BAPA,Barred Parakeet,Bolborhynchus lineola,BOLLIN,Psittaciformes,Psittacidae,Arinae
BAPU,Barred Puffbird,Nystalus radiatus,NYSRAD,Piciformes,Bucconidae,
BAGO,Barrow's Goldeneye,Bucephala islandica,BUCISL,Anseriformes,Anatidae,Anatinae
BTGO,Bar-tailed Godwit,Limosa lapponica,LIMLAP,Charadriiformes,Scolopacidae,Scolopacinae
BWOR,Bar-winged Oriole,Icterus maculialatus,ICTMAC,Passeriformes,Icteridae,
BAFA,Bat Falcon,Falco rufigularis,FALRUF,Falconiformes,Falconidae,Falconinae
BAYW,Bay Wren,Cantorchilus nigricapillus,CANNIG,Passeriformes,Troglodytidae,
BBRC,Bay-breasted Cuckoo,Coccyzus rufigularis,COCRUF,Cuculiformes,Cuculidae,Cuculinae
BBWA,Bay-breasted Warbler,Setophaga castanea,SETCAS,Passeriformes,Parulidae,
BHTA,Bay-headed Tanager,Tangara gyrola,TANGYR,Passeriformes,Thraupidae,
BESO,Bearded Screech-Owl,Megascops barbarus,MEGBAR,Strigiformes,Strigidae,
BEWP,Bearded Wood-Partridge,Dendrortyx barbatus,DENBAR,Galliformes,Odontophoridae,
BEAH,Beautiful Hummingbird,Calothorax pulcher,CALPUL,Apodiformes,Trochilidae,Trochilinae
BETR,Beautiful Treerunner,Margarornis bellulus,MARBEL,Passeriformes,Furnariidae,Furnariinae
BEEH,Bee Hummingbird,Mellisuga helenae,MELHEL,Apodiformes,Trochilidae,Trochilinae
BEGU,Belcher's Gull,Larus belcheri,LARBEL,Charadriiformes,Laridae,Larinae
BSSP,Belding's Savannah Sparrow,Passerculus s. beldingi,PASSBE,Passeriformes,Emberizidae,
BEYE,Belding's Yellowthroat,Geothlypis beldingi,GEOBEL,Passeriformes,Parulidae,
BEVI,Bell's Vireo,Vireo bellii,VIRBEL,Passeriformes,Vireonidae,
BEFL,Belted Flycatcher,Xenotriccus callizonus,XENCAL,Passeriformes,Tyrannidae,Fluvicolinae
BEKI,Belted Kingfisher,Megaceryle alcyon,MEGALC,Coraciiformes,Alcedinidae,Cerylinae
BETH,Bendire's Thrasher,Toxostoma bendirei,TOXBEN,Passeriformes,Mimidae,
BEPE,Bermuda Petrel,Pterodroma cahow,PTECAH,Procellariiformes,Procellariidae,
BEHU,Berylline Hummingbird,Amazilia beryllina,AMABER,Apodiformes,Trochilidae,Trochilinae
BESW,Bewick's Swan,Cygnus c. bewickii,CYGCBE,Anseriformes,Anatidae,Anserinae
BEWR,Bewick's Wren,Thryomanes bewickii,THRBEW,Passeriformes,Troglodytidae,
BITH,Bicknell's Thrush,Catharus bicknelli,CATBIC,Passeriformes,Turdidae,
BIAN,Bicolored Antbird,Gymnopithys leucaspis,GYMLEU,Passeriformes,Thamnophilidae,
BIHA,Bicolored Hawk,Accipiter bicolor,ACCBIC,Accipitriformes,Accipitridae,Accipitrinae
BIOO,Bishop's Oo,Moho bishopi,MOHBIS,Passeriformes,Mohoidae,
BLAN,Black Antshrike,Thamnophilus nigriceps,THANIG,Passeriformes,Thamnophilidae,
BLBR,Black Brant,Branta b. nigricans,BRABNI,Anseriformes,Anatidae,Anserinae
BLCA,Black Catbird,Melanoptila glabrirostris,MELGLA,Passeriformes,Mimidae,
